OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate
1,Greensboro Elementary School,Caroline,10,2020/10/29 14:00:00+00
2,Archbishiop Neale School,Charles,4,2020/10/29 14:00:00+00
3,Brunswick Middle School,Frederick,3,2020/10/29 14:00:00+00
4,Annapolis Area Christian School - Upper School,Anne Arundel,2,2020/10/29 14:00:00+00
5,Beth Tfiloh Dahan Community School,Baltimore,5,2020/10/29 14:00:00+00
6,Worcester Preparatory School,Worcester,3,2020/10/29 14:00:00+00
7,Garrison Forrest Elementary,Baltimore,3,2020/10/29 14:00:00+00
8,Route 40 Elementary,Garrett,2,2020/10/29 14:00:00+00
9,Eastern Elementary School,Washington,2,2020/10/29 14:00:00+00
10,Clear Springs High School,Washington,2,2020/10/29 14:00:00+00
11,Greensboro Elementary School,Caroline,12,2020/11/05 15:00:00+00
12,Archbishop Neale Elementary School,Charles,12,2020/11/05 15:00:00+00
13,Worcester Preparatory School,Worcester,3,2020/11/05 15:00:00+00
14,Route 40 Elementary,Garrett,2,2020/11/05 15:00:00+00
15,Clear Spring High,Washington,2,2020/11/05 15:00:00+00
16,Gerstell Academy,Carroll,3,2020/11/05 15:00:00+00
17,Greenwood Elementary,Somerset,2,2020/11/05 15:00:00+00
18,Glenelg Country School,Howard,4,2020/11/05 15:00:00+00
19,Emmanuel Lutheran School,Baltimore,5,2020/11/05 15:00:00+00
20,Manor Woods Elementary,Howard,2,2020/11/05 15:00:00+00
21,Cedar Ridge School,Washington,2,2020/11/05 15:00:00+00
22,Carter G Woodson Elementary,Somerset,3,2020/11/05 15:00:00+00
23,St. Andrew's Episcopal School,Montgomery,2,2020/11/05 15:00:00+00
50,Route 40 Elementary,Garrett,2,2020/11/11 15:00:00+00
51,Gerstell Academy,Carroll,3,2020/11/11 15:00:00+00
52,Greenwood Elementary,Somerset,2,2020/11/11 15:00:00+00
53,Glenelg Country School,Howard,8,2020/11/11 15:00:00+00
54,Emmanuel Lutheran School,Baltimore,5,2020/11/11 15:00:00+00
55,Manor Woods Elementary,Howard,2,2020/11/11 15:00:00+00
56,Cedar Ridge School,Washington,4,2020/11/11 15:00:00+00
57,Woodson Elementary School,Somerset,3,2020/11/11 15:00:00+00
58,St. Andrew's Episcopal School,Montgomery,2,2020/11/11 15:00:00+00
59,St. Elizabeth School,Montgomery,2,2020/11/11 15:00:00+00
60,Grace Academy,Washington,14,2020/11/11 15:00:00+00
61,Robert Moton Elementary,Carroll,2,2020/11/11 15:00:00+00
62,Seaside Christian Academy,Worcester,2,2020/11/11 15:00:00+00
63,McDonough School,Baltimore,2,2020/11/11 15:00:00+00
64,St. Mark's School,Baltimore,7,2020/11/11 15:00:00+00
65,Pangborn Elementary,Washington,4,2020/11/11 15:00:00+00
66,St. Agnes Catholic School,Baltimore,2,2020/11/11 15:00:00+00
67,North Point High School,Charles,2,2020/11/11 15:00:00+00
68,Joppatowne Elementary School,Harford,6,2020/11/11 15:00:00+00
69,Monsignor Slade Catholic School,Anne Arundel,3,2020/11/11 15:00:00+00
70,Windy Hill Elementary School,Calvert,2,2020/11/11 15:00:00+00
71,Truth Christian Academy,Washington,2,2020/11/11 15:00:00+00
72,Hagerstown High School,Washington,3,2020/11/11 15:00:00+00
73,Living Hope Christian School,Somerset,2,2020/11/11 15:00:00+00
74,Stephen Decatur High School,Worcester,2,2020/11/11 15:00:00+00
75,Mount Saint Joseph,Baltimore City,2,2020/11/11 15:00:00+00
76,Gerstell Academy,Carroll,3,2020/11/18 15:00:00+00
77,Glenelg Country School,Howard,7,2020/11/18 15:00:00+00
78,Manor Woods Elementary,Howard,2,2020/11/18 15:00:00+00
79,Cedar Ridge School,Washington,4,2020/11/18 15:00:00+00
80,Woodson Elementary School,Somerset,5,2020/11/18 15:00:00+00
81,St. Andrew's Episcopal School,Montgomery,2,2020/11/18 15:00:00+00
82,St. Elizabeth School,Montgomery,2,2020/11/18 15:00:00+00
83,Grace Academy,Washington,16,2020/11/18 15:00:00+00
84,Robert Moton Elementary,Carroll,2,2020/11/18 15:00:00+00
85,Seaside Christian Academy,Worcester,2,2020/11/18 15:00:00+00
86,McDonough School,Baltimore,4,2020/11/18 15:00:00+00
87,St. Mark's School,Baltimore,8,2020/11/18 15:00:00+00
88,Pangborn Elementary,Washington,4,2020/11/18 15:00:00+00
89,Saint Agnes Catholic School,Baltimore,2,2020/11/18 15:00:00+00
90,North Point High School,Charles,2,2020/11/18 15:00:00+00
91,Joppatowne Elementary School,Harford,6,2020/11/18 15:00:00+00
92,Monsignor Slade Catholic School,Anne Arundel,4,2020/11/18 15:00:00+00
93,Windy Hill Elementary School,Calvert,2,2020/11/18 15:00:00+00
94,Truth Christian Academy,Washington,3,2020/11/18 15:00:00+00
95,South Hagerstown High School,Washington,3,2020/11/18 15:00:00+00
96,Stephen Decatur High School,Worcester,2,2020/11/18 15:00:00+00
97,Mount Saint Joseph,Baltimore City,2,2020/11/18 15:00:00+00
98,Bullis School,Montgomery,8,2020/11/18 15:00:00+00
99,James M. Bennett High,Wicomico,2,2020/11/18 15:00:00+00
100,Bais Yaakov School for Girls,Baltimore,2,2020/11/18 15:00:00+00
101,DeMatha Catholic High School,Prince George's,3,2020/11/18 15:00:00+00
102,St. Joseph's School,Baltimore,2,2020/11/18 15:00:00+00
103,Bais Yaakov Eva Winer High School,Baltimore,4,2020/11/18 15:00:00+00
104,Delmar Elementary School,Wicomico,4,2020/11/18 15:00:00+00
105,The Heights School,Montgomery,4,2020/11/18 15:00:00+00
106,Yough Glades Elementary,Garrett,3,2020/11/18 15:00:00+00
107,Broadfording Christian Academy,Washington,4,2020/11/18 15:00:00+00
108,Open Bible Christian Academy,Baltimore,3,2020/11/18 15:00:00+00
109,The Harbour School at Baltimore,Baltimore,2,2020/11/18 15:00:00+00
110,Gerstell Academy,Carroll,3,2020/11/18 15:00:00+00
111,Glenelg Country School,Howard,7,2020/11/18 15:00:00+00
112,Manor Woods Elementary,Howard,2,2020/11/18 15:00:00+00
113,Cedar Ridge School,Washington,4,2020/11/18 15:00:00+00
114,Woodson Elementary School,Somerset,5,2020/11/18 15:00:00+00
115,St. Andrew's Episcopal School,Montgomery,2,2020/11/18 15:00:00+00
116,St. Elizabeth School,Montgomery,2,2020/11/18 15:00:00+00
117,Grace Academy,Washington,16,2020/11/18 15:00:00+00
118,Robert Moton Elementary,Carroll,2,2020/11/18 15:00:00+00
119,Seaside Christian Academy,Worcester,2,2020/11/18 15:00:00+00
120,McDonough School,Baltimore,4,2020/11/18 15:00:00+00
121,St. Mark's School,Baltimore,8,2020/11/18 15:00:00+00
122,Pangborn Elementary,Washington,4,2020/11/18 15:00:00+00
123,Saint Agnes Catholic School,Baltimore,2,2020/11/18 15:00:00+00
124,North Point High School,Charles,2,2020/11/18 15:00:00+00
125,Joppatowne Elementary School,Harford,6,2020/11/18 15:00:00+00
126,Monsignor Slade Catholic School,Anne Arundel,4,2020/11/18 15:00:00+00
127,Windy Hill Elementary School,Calvert,2,2020/11/18 15:00:00+00
128,Truth Christian Academy,Washington,3,2020/11/18 15:00:00+00
129,South Hagerstown High School,Washington,3,2020/11/18 15:00:00+00
130,Stephen Decatur High School,Worcester,2,2020/11/18 15:00:00+00
131,Mount Saint Joseph,Baltimore City,2,2020/11/18 15:00:00+00
132,Bullis School,Montgomery,8,2020/11/18 15:00:00+00
133,James M. Bennett High,Wicomico,2,2020/11/18 15:00:00+00
134,Bais Yaakov School for Girls,Baltimore,2,2020/11/18 15:00:00+00
135,DeMatha Catholic High School,Prince George's,3,2020/11/18 15:00:00+00
136,St. Joseph's School,Baltimore,2,2020/11/18 15:00:00+00
137,Bais Yaakov Eva Winer High School,Baltimore,4,2020/11/18 15:00:00+00
138,Delmar Elementary School,Wicomico,4,2020/11/18 15:00:00+00
139,The Heights School,Montgomery,4,2020/11/18 15:00:00+00
140,Yough Glades Elementary,Garrett,3,2020/11/18 15:00:00+00
141,Broadfording Christian Academy,Washington,4,2020/11/18 15:00:00+00
142,Open Bible Christian Academy,Baltimore,3,2020/11/18 15:00:00+00
143,The Harbour School at Baltimore,Baltimore,2,2020/11/18 15:00:00+00
144,Bais Yaakov Eva Winer High School,Baltimore,3,2020/11/25 15:00:00+00
145,Broadfording Christian Academy,Washington,5,2020/11/25 15:00:00+00
146,Bullis School,Montgomery,10,2020/11/25 15:00:00+00
147,Delmar Elementary School,Wicomico,4,2020/11/25 15:00:00+00
148,Frederick Christian Academy,Frederick,6,2020/11/25 15:00:00+00
149,Glenelg Country School,Howard,10,2020/11/25 15:00:00+00
150,Grace Academy,Washington,17,2020/11/25 15:00:00+00
151,Immaculate Heart of Mary School,Baltimore,2,2020/11/25 15:00:00+00
152,James M. Bennett High,Wicomico,2,2020/11/25 15:00:00+00
153,John Archer School,Harford,3,2020/11/25 15:00:00+00
154,McDonough School,Baltimore,5,2020/11/25 15:00:00+00
155,Mesivta Kesser Torah of Baltimore,Baltimore,2,2020/11/25 15:00:00+00
156,Mount Saint Joseph,Baltimore City,6,2020/11/25 15:00:00+00
157,Open Bible Christian Academy,Baltimore,5,2020/11/25 15:00:00+00
158,Roland Park Country School,Baltimore City,4,2020/11/25 15:00:00+00
159,Rosedale Baptist School,Baltimore,2,2020/11/25 15:00:00+00
160,Running Brook Elementary,Howard,2,2020/11/25 15:00:00+00
161,Severn School,Anne Arundel,2,2020/11/25 15:00:00+00
162,St. Jerome's School,Prince George's,2,2020/11/25 15:00:00+00
163,St. Joseph's School,Baltimore,4,2020/11/25 15:00:00+00
164,St. Mark's School,Baltimore,7,2020/11/25 15:00:00+00
165,Stephen Decatur High School,Worcester,2,2020/11/25 15:00:00+00
166,The Harbour School at Baltimore,Baltimore,2,2020/11/25 15:00:00+00
167,The Heights School,Montgomery,4,2020/11/25 15:00:00+00
168,Torah School of Greater Washington,Montgomery,3,2020/11/25 15:00:00+00
169,Truth Christian Academy,Washington,3,2020/11/25 15:00:00+00
170,Woodson Elementary School,Somerset,6,2020/11/25 15:00:00+00
171,Yough Glades Elementary,Garrett,3,2020/11/25 15:00:00+00
172,Bais Yaakov Eva Winer High School,Baltimore,4,2020/12/02 15:00:00+00
173,Broadfording Christian Academy,Washington,5,2020/12/02 15:00:00+00
174,Bullis School,Montgomery,10,2020/12/02 15:00:00+00
175,Frederick Christian Academy,Frederick,6,2020/12/02 15:00:00+00
176,Glenelg Country School,Howard,11,2020/12/02 15:00:00+00
177,Grace Academy,Washington,19,2020/12/02 15:00:00+00
178,Heritage Academy,Washington,2,2020/12/02 15:00:00+00
179,John Archer School,Harford,3,2020/12/02 15:00:00+00
180,McDonough School,Baltimore,5,2020/12/02 15:00:00+00
181,Mesivta Kesser Torah of Baltimore,Baltimore,2,2020/12/02 15:00:00+00
182,Mount Saint Joseph,Baltimore City,6,2020/12/02 15:00:00+00
183,Open Bible Christian Academy,Baltimore,5,2020/12/02 15:00:00+00
184,Rosedale Baptist School,Baltimore,2,2020/12/02 15:00:00+00
185,Running Brook Elementary,Howard,2,2020/12/02 15:00:00+00
186,St. Joseph's School,Baltimore,4,2020/12/02 15:00:00+00
187,St. Mark's School,Baltimore,7,2020/12/02 15:00:00+00
188,Stephen Decatur High School,Worcester,2,2020/12/02 15:00:00+00
189,The Harbour School at Baltimore,Baltimore,2,2020/12/02 15:00:00+00
190,St. Paul's School,Baltimore,4,2020/12/02 15:00:00+00
191,Torah School of Greater Washington,Montgomery,3,2020/12/02 15:00:00+00
192,Truth Christian Academy,Washington,3,2020/12/02 15:00:00+00
193,Woodson Elementary School,Somerset,6,2020/12/02 15:00:00+00
241,Broadfording Christian Academy,Washington,5,2020/12/09 15:00:00+00
242,Glenelg Country School,Howard,12,2020/12/09 15:00:00+00
243,Grace Academy,Washington,19,2020/12/09 15:00:00+00
244,Heritage Academy,Washington,2,2020/12/09 15:00:00+00
245,Living Hope Christian School,Somerset,3,2020/12/09 15:00:00+00
246,McDonough School,Baltimore,5,2020/12/09 15:00:00+00
247,Mesivta Kesser Torah of Baltimore - 9th grade,Baltimore,2,2020/12/09 15:00:00+00
248,Mount Saint Joseph,Baltimore City,6,2020/12/09 15:00:00+00
249,Rosedale Baptist School,Baltimore,2,2020/12/09 15:00:00+00
250,St. Paul's School,Baltimore,4,2020/12/09 15:00:00+00
251,Stephen Decatur High School,Worcester,2,2020/12/09 15:00:00+00
252,Torah School of Greater Washington - 10 year olds,Montgomery,3,2020/12/09 15:00:00+00
253,Woodson Elementary School,Somerset,6,2020/12/09 15:00:00+00
254,Yough Glades Elementary,Garrett,3,2020/12/09 15:00:00+00
255,Broadfording Christian Academy,Washington,5,2020/12/09 15:00:00+00
256,Glenelg Country School,Howard,12,2020/12/09 15:00:00+00
257,Grace Academy,Washington,19,2020/12/09 15:00:00+00
258,Heritage Academy,Washington,2,2020/12/09 15:00:00+00
259,Living Hope Christian School,Somerset,3,2020/12/09 15:00:00+00
260,McDonough School,Baltimore,5,2020/12/09 15:00:00+00
261,Mesivta Kesser Torah of Baltimore - 9th grade,Baltimore,2,2020/12/09 15:00:00+00
262,Mount Saint Joseph,Baltimore City,6,2020/12/09 15:00:00+00
263,Rosedale Baptist School,Baltimore,2,2020/12/09 15:00:00+00
264,St. Paul's School,Baltimore,4,2020/12/09 15:00:00+00
265,Stephen Decatur High School,Worcester,2,2020/12/09 15:00:00+00
266,Torah School of Greater Washington - 10 year olds,Montgomery,3,2020/12/09 15:00:00+00
267,Woodson Elementary School,Somerset,6,2020/12/09 15:00:00+00
268,Yough Glades Elementary,Garrett,3,2020/12/09 15:00:00+00
269,Bais Yaakov Eva Winer High School,Baltimore,11,2020/12/16 15:00:00+00
270,Beechfield Elementary/Middle,Baltimore City,2,2020/12/16 15:00:00+00
271,Frederick Christian Academy,Frederick,8,2020/12/16 15:00:00+00
272,Frederick Highschool,Frederick,2,2020/12/16 15:00:00+00
273,Glenelg Country School,Howard,12,2020/12/16 15:00:00+00
274,Heritage Academy,Washington,2,2020/12/16 15:00:00+00
275,Linganore High School,Frederick,5,2020/12/16 15:00:00+00
276,Middletown Elementary School,Frederick,3,2020/12/16 15:00:00+00
277,Most Blessed Sacrament Catholic School,Worcester,2,2020/12/16 15:00:00+00
278,Mount Aviat Academy,Cecil,3,2020/12/16 15:00:00+00
279,St. Paul's School,Baltimore,4,2020/12/16 15:00:00+00
280,Stephen Decatur High School,Worcester,2,2020/12/16 15:00:00+00
281,Talmudical Academy,Baltimore,12,2020/12/16 15:00:00+00
282,The Harbour School at Baltimore,Baltimore,3,2020/12/16 15:00:00+00
283,Bais Yaakov Eva Winer High School,Baltimore,25,2020/12/23 15:00:00+00
284,Esperanza Middle School,St. Mary's,3,2020/12/23 15:00:00+00
285,Fellowship Christian School,Montgomery,3,2020/12/23 15:00:00+00
286,Frederick Christian Academy,Frederick,10,2020/12/23 15:00:00+00
287,Heritage Academy,Washington,2,2020/12/23 15:00:00+00
288,Most Blessed Sacrament Catholic School,Worcester,3,2020/12/23 15:00:00+00
289,Mount Aviat Academy,Cecil,5,2020/12/23 15:00:00+00
290,Our Lady of Mt. Carmel,Baltimore,3,2020/12/23 15:00:00+00
291,Rosedale Baptist School,Baltimore,3,2020/12/23 15:00:00+00
292,Severn School,Anne Arundel,4,2020/12/23 15:00:00+00
293,St. Mark's School,Baltimore,3,2020/12/23 15:00:00+00
294,St. Mary's High School,Anne Arundel,3,2020/12/23 15:00:00+00
295,St. Paul's School,Baltimore,4,2020/12/23 15:00:00+00
296,Talmudical Academy,Baltimore,13,2020/12/23 15:00:00+00
297,The Harbour School at Baltimore,Baltimore,3,2020/12/23 15:00:00+00
298,West Frederick Middle School,Frederick,2,2020/12/23 15:00:00+00
299,Windsor Knolls Middle School,Frederick,4,2020/12/23 15:00:00+00
300,Bais Yaakov Eva Winer High School,Baltimore,27,2020/12/30 15:00:00+00
301,College Gardens Elementary,Montgomery,2,2020/12/30 15:00:00+00
302,Esperanza Middle School,St. Mary's,3,2020/12/30 15:00:00+00
303,Frederick Christian Academy,Frederick,10,2020/12/30 15:00:00+00
304,Heritage Academy,Washington,2,2020/12/30 15:00:00+00
305,Most Blessed Sacrament Catholic School,Worcester,3,2020/12/30 15:00:00+00
306,Mount Aviat Academy,Cecil,5,2020/12/30 15:00:00+00
307,Ohr Chadash Academy,Baltimore City,2,2020/12/30 15:00:00+00
308,Our Lady of Mt. Carmel,Baltimore,3,2020/12/30 15:00:00+00
309,Rosedale Baptist School,Baltimore,3,2020/12/30 15:00:00+00
310,Severn School,Anne Arundel,4,2020/12/30 15:00:00+00
311,St. Mark's School,Baltimore,3,2020/12/30 15:00:00+00
312,St. Mary's High School,Anne Arundel,3,2020/12/30 15:00:00+00
313,Talmudical Academy,Baltimore,36,2020/12/30 15:00:00+00
314,West Frederick Middle School,Frederick,2,2020/12/30 15:00:00+00
315,Windsor Knolls Middle School,Frederick,4,2020/12/30 15:00:00+00
327,Bais Yaakov Eva Winer High School,Baltimore,31,2021/01/06 15:00:00+00
328,College Garden Elementary,Montgomery,2,2021/01/06 15:00:00+00
329,Esperanza Middle School,St. Mary's,3,2021/01/06 15:00:00+00
330,Heritage Academy,Washington,2,2021/01/06 15:00:00+00
331,Ohr Chadash Academy,Baltimore City,2,2021/01/06 15:00:00+00
332,Our Lady of Mt. Carmel,Baltimore,3,2021/01/06 15:00:00+00
333,Rosedale Baptist School,Baltimore,6,2021/01/06 15:00:00+00
334,St. Mary's High School,Anne Arundel,5,2021/01/06 15:00:00+00
335,Talmudical Academy of Baltimore,Baltimore,36,2021/01/06 15:00:00+00
336,Torah Institute of Baltimore,Baltimore,6,2021/01/06 15:00:00+00
337,Wicomico Day School,Wicomico,2,2021/01/06 15:00:00+00
361,Bais Yaakov Eva Winer High School,Baltimore,34,2021/01/13 15:00:00+00
362,College Garden Elementary,Montgomery,2,2021/01/13 15:00:00+00
363,Bishop McNamara High School,Prince George's,2,2021/01/13 15:00:00+00
364,Columbia Academy,Howard,2,2021/01/13 15:00:00+00
365,Esperanza Middle School,St. Mary's,3,2021/01/13 15:00:00+00
366,Harlem Park,Baltimore City,2,2021/01/13 15:00:00+00
367,Heritage Academy,Washington,2,2021/01/13 15:00:00+00
368,Ohr Chadash Academy,Baltimore City,2,2021/01/13 15:00:00+00
369,Talmudical Academy of Baltimore,Baltimore,36,2021/01/13 15:00:00+00
370,Torah Institute of Baltimore,Baltimore,19,2021/01/13 15:00:00+00
371,Windsor Knolls Middle,Frederick,8,2021/01/13 15:00:00+00
372,Bais Yaakov Eva Winer High School,Baltimore,34,2021/01/13 15:00:00+00
373,College Garden Elementary,Montgomery,2,2021/01/13 15:00:00+00
374,Bishop McNamara High School,Prince George's,2,2021/01/13 15:00:00+00
375,Esperanza Middle School,St. Mary's,3,2021/01/13 15:00:00+00
376,Harlem Park,Baltimore City,2,2021/01/13 15:00:00+00
377,Heritage Academy,Washington,2,2021/01/13 15:00:00+00
378,Ohr Chadash Academy,Baltimore City,2,2021/01/13 15:00:00+00
379,Talmudical Academy of Baltimore,Baltimore,36,2021/01/13 15:00:00+00
380,Torah Institute of Baltimore,Baltimore,19,2021/01/13 15:00:00+00
381,Windsor Knolls Middle,Frederick,8,2021/01/13 15:00:00+00
398,Annapolis Area Christian School,Anne Arundel,3,2021/01/20 15:00:00+00
399,Bais Yaakov Eva Winer High School,Baltimore,37,2021/01/20 15:00:00+00
400,Bais Yaakov School for Girls,Baltimore,3,2021/01/20 15:00:00+00
401,College Garden Elementary,Montgomery,2,2021/01/20 15:00:00+00
402,Bishop McNamara High,Prince George's,9,2021/01/20 15:00:00+00
403,Calvert Hall College Preparatory School,Baltimore,7,2021/01/20 15:00:00+00
404,Harlem Park,Baltimore City,2,2021/01/20 15:00:00+00
405,Heritage Academy,Washington,2,2021/01/20 15:00:00+00
406,Salsbury Christian School,Wicomico,2,2021/01/20 15:00:00+00
407,School of Incarnation,Anne Arundel,3,2021/01/20 15:00:00+00
408,Sunderland Elementary School,Calvert,4,2021/01/20 15:00:00+00
409,Talmudical Academy of Baltimore,Baltimore,48,2021/01/20 15:00:00+00
410,The Harbour School,Anne Arundel,3,2021/01/20 15:00:00+00
411,The Heights School,Montgomery,4,2021/01/20 15:00:00+00
412,The Young School at Kendall Ridge,Howard,1,2021/01/20 15:00:00+00
413,Torah Institute of Baltimore,Baltimore,26,2021/01/20 15:00:00+00
414,Annapolis Area Christian School,Anne Arundel,3,2021/01/20 15:00:00+00
415,Bais Yaakov Eva Winer High School,Baltimore,37,2021/01/20 15:00:00+00
416,Bais Yaakov School for Girls,Baltimore,3,2021/01/20 15:00:00+00
417,College Garden Elementary,Montgomery,2,2021/01/20 15:00:00+00
418,Bishop McNamara High,Prince George's,9,2021/01/20 15:00:00+00
419,Calvert Hall College Preparatory School,Baltimore,7,2021/01/20 15:00:00+00
420,Harlem Park,Baltimore City,2,2021/01/20 15:00:00+00
421,Heritage Academy,Washington,2,2021/01/20 15:00:00+00
422,Salsbury Christian School,Wicomico,2,2021/01/20 15:00:00+00
423,School of Incarnation,Anne Arundel,3,2021/01/20 15:00:00+00
424,Sunderland Elementary School,Calvert,4,2021/01/20 15:00:00+00
425,Talmudical Academy of Baltimore,Baltimore,48,2021/01/20 15:00:00+00
426,The Harbour School,Anne Arundel,3,2021/01/20 15:00:00+00
427,The Heights School,Montgomery,4,2021/01/20 15:00:00+00
428,Torah Institute of Baltimore,Baltimore,26,2021/01/20 15:00:00+00
481,Annapolis Area Christian School,Anne Arundel,3,2021/01/27 15:00:00+00
482,The Avalon School,Montgomery,3,2021/01/27 15:00:00+00
483,Bais Yaakov Eva Winer High School,Baltimore,44,2021/01/27 15:00:00+00
484,Bais Yaakov Middle School,Baltimore,3,2021/01/27 15:00:00+00
485,Bais Yaakov School for Girls,Baltimore,3,2021/01/27 15:00:00+00
486,Bishop McNamara High,Prince George's,10,2021/01/27 15:00:00+00
487,Brookewood School,Montgomery,3,2021/01/27 15:00:00+00
488,Calvert Hall College High School,Baltimore,7,2021/01/27 15:00:00+00
489,Cheder Chabad School,Baltimore City,2,2021/01/27 15:00:00+00
490,DeMatha Catholic High School,Prince George's,2,2021/01/27 15:00:00+00
491,Georgetown Preparatory School,Montgomery,4,2021/01/27 15:00:00+00
492,Heritage Academy,Washington,2,2021/01/27 15:00:00+00
493,Little Flower School,St. Mary's,3,2021/01/27 15:00:00+00
494,Parr's Ridge Elementary,Carroll,2,2021/01/27 15:00:00+00
495,Resurrection St. Paul School,Howard,8,2021/01/27 15:00:00+00
496,Runnymede Elementary,Carroll,2,2021/01/27 15:00:00+00
497,Salisbury Christian School,Wicomico,5,2021/01/27 15:00:00+00
498,School of the Incarnation,Anne Arundel,4,2021/01/27 15:00:00+00
499,St. Francis de Sales Catholic School,Wicomico,6,2021/01/27 15:00:00+00
500,St. Mary's Ryken High School,St. Mary's,2,2021/01/27 15:00:00+00
501,Talmudical Academy of Baltimore,Baltimore,56,2021/01/27 15:00:00+00
502,The Heights School,Montgomery,4,2021/01/27 15:00:00+00
503,The Primary Day School,Montgomery,2,2021/01/27 15:00:00+00
504,Torah Institute of Baltimore,Baltimore,26,2021/01/27 15:00:00+00
505,William Winchester Elementary,Carroll,4,2021/01/27 15:00:00+00
532,The Avalon School,Montgomery,5,2021/02/03 15:00:00+00
533,Bais Yaakov Eva Winer High School,Baltimore,45,2021/02/03 15:00:00+00
534,Bishop McNamara High,Prince George's,10,2021/02/03 15:00:00+00
535,Brookewood School,Montgomery,3,2021/02/03 15:00:00+00
536,Calvert Hall College High School,Baltimore,7,2021/02/03 15:00:00+00
537,Cheder Chabad School,Baltimore City,2,2021/02/03 15:00:00+00
538,DeMatha Catholic High School,Prince George's,2,2021/02/03 15:00:00+00
539,Georgetown Preparatory School,Montgomery,7,2021/02/03 15:00:00+00
540,Heritage Academy,Washington,2,2021/02/03 15:00:00+00
541,Kings Christian Academy,St. Mary's,6,2021/02/03 15:00:00+00
542,Little Flower School,St. Mary's,3,2021/02/03 15:00:00+00
543,McDonogh School,Baltimore,4,2021/02/03 15:00:00+00
544,Our Lady of Mercy,Montgomery,3,2021/02/03 15:00:00+00
545,Resurrection St. Paul School,Howard,14,2021/02/03 15:00:00+00
546,Runnymede Elementary,Carroll,5,2021/02/03 15:00:00+00
547,Salisbury Christian School,Wicomico,4,2021/02/03 15:00:00+00
548,Spaulding High School,Anne Arundel,2,2021/02/03 15:00:00+00
549,St. Francis de Sales Catholic School,Wicomico,6,2021/02/03 15:00:00+00
550,St. Louis School,Howard,3,2021/02/03 15:00:00+00
551,St. Margaret's Elementary,Harford,2,2021/02/03 15:00:00+00
552,St. Mary's Ryken High School,St. Mary's,2,2021/02/03 15:00:00+00
553,St. Raphael School,Montgomery,9,2021/02/03 15:00:00+00
554,Talmudical Academy of Baltimore,Baltimore,62,2021/02/03 15:00:00+00
555,The Country School,Talbot,2,2021/02/03 15:00:00+00
556,The Heights School,Montgomery,4,2021/02/03 15:00:00+00
557,William Winchester Elementary,Carroll,2,2021/02/03 15:00:00+00
574,Bais Yaakov Eva Winer High School,Baltimore,49,2021/02/10 15:00:00+00
575,Bethel Christian Academy,Howard,2,2021/02/10 15:00:00+00
576,Calvert Hall College High School,Baltimore,7,2021/02/10 15:00:00+00
577,Carroll Springs Elementary,Carroll,2,2021/02/10 15:00:00+00
578,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2021/02/10 15:00:00+00
579,Cheder Chabad School,Baltimore City,2,2021/02/10 15:00:00+00
580,DeMatha Catholic High School,Prince George's,5,2021/02/10 15:00:00+00
581,Kings Christian Academy,St. Mary's,7,2021/02/10 15:00:00+00
582,McDonogh School,Baltimore,4,2021/02/10 15:00:00+00
583,Resurrection St. Paul School,Howard,15,2021/02/10 15:00:00+00
584,Runnymede Elementary,Carroll,5,2021/02/10 15:00:00+00
585,St. Louis School,Howard,3,2021/02/10 15:00:00+00
586,St. Raphael School,Montgomery,9,2021/02/10 15:00:00+00
587,Talmudical Academy of Baltimore,Baltimore,72,2021/02/10 15:00:00+00
588,The Country School,Talbot,7,2021/02/10 15:00:00+00
589,The Primary Day School,Montgomery,6,2021/02/10 15:00:00+00
607,Bais Yaakov Eva Winer High School,Baltimore,51,2021/02/17 15:00:00+00
608,Bethel Christian Academy,Howard,3,2021/02/17 15:00:00+00
609,Calvary Baptist Church Academy,Anne Arundel,7,2021/02/17 15:00:00+00
610,Carroll Springs Elementary,Carroll,2,2021/02/17 15:00:00+00
611,Catoctin Highschool,Frederick,2,2021/02/17 15:00:00+00
612,Charles E Smith Jewish Day School - Upper School,Montgomery,3,2021/02/17 15:00:00+00
613,Cheder Chabad School,Baltimore City,2,2021/02/17 15:00:00+00
614,DeMatha Catholic High School,Prince George's,6,2021/02/17 15:00:00+00
615,McDonogh School,Baltimore,4,2021/02/17 15:00:00+00
616,Resurrection St. Paul School,Howard,15,2021/02/17 15:00:00+00
617,Runnymede Elementary,Carroll,5,2021/02/17 15:00:00+00
618,St. Martin's in the Field Episcopal School,Anne Arundel,2,2021/02/17 15:00:00+00
619,St. Paul's School,Baltimore,4,2021/02/17 15:00:00+00
620,Talmudical Academy of Baltimore - High School,Baltimore,3,2021/02/17 15:00:00+00
621,Talmudical Academy of Baltimore - Elementary,Baltimore,32,2021/02/17 15:00:00+00
622,The Country School,Talbot,4,2021/02/17 15:00:00+00
623,The Primary Day School,Montgomery,8,2021/02/17 15:00:00+00
624,Bais Yaakov Eva Winer High School,Baltimore,51,2021/02/24 15:00:00+00
625,Bethel Christian Academy,Howard,3,2021/02/24 15:00:00+00
626,Calvary Baptist Church Academy,Anne Arundel,8,2021/02/24 15:00:00+00
627,Catoctin Highschool,Frederick,2,2021/02/24 15:00:00+00
628,Cheder Chabad School,Baltimore City,2,2021/02/24 15:00:00+00
